Item Name,Item Hex
Checkered muffler (camel),00001f44
Hip-wrap shirt (yellow),000011ce
Hip-wrap shirt (blue),000020d5
Hip-wrap shirt (red),000020d6
Sparkly embroidered tank (red),000011d0
Sparkly embroidered tank (yellow),000020c4
Sparkly embroidered tank (blue),000020c5
Pleather trench coat (black),000011d5
Pleather trench coat (purple),00002458
Pleather trench coat (brown),00002459
Reindeer sweater (green),000011d6
Reindeer sweater (brown),00001e3c
Reindeer sweater (red),00001e3d
Front-tie button-down shirt (blue),000011d7
Front-tie button-down shirt (pink),0000213a
Front-tie button-down shirt (yellow),0000213b
Front-tie button-down shirt (gray),0000213c
Top coat (light blue),000011de
Top coat (beige),00002107
Top coat (brown),00002108
Top coat (pink),00002109
Retro sweater (purple),000011df
Retro sweater (yellow),00001eae
Retro sweater (white),00001eaf
Retro sweater (blue),00001eb0
Cowboy shirt (white),000011e0
Cowboy shirt (red),000024eb
Cowboy shirt (blue),000024ec
Cowboy shirt (light blue),000024ed
Cowboy shirt (brown),000024ee
Sweetheart tank and shirt (gray),000011e2
Sweetheart tank and shirt (beige),00002348
Sweetheart tank and shirt (green),00002349
Sweetheart tank and shirt (pink),0000234a
Sweetheart tank and shirt (blue),0000234b
Rainbow sweater (black),000011f3
Rainbow sweater (white),00001ddc
Rainbow sweater (red),00001ddd
Rainbow sweater (green),00001dde
Rainbow sweater (light blue),00001ddf
Boa blouson (purple),000011f6
Boa blouson (beige),00001f45
Boa blouson (blue),00001f46
Boa blouson (white),00001f47
Sleeveless tunic (purple),000011f7
Sleeveless tunic (blue),000020a7
Sleeveless tunic (mint),000020a8
Sleeveless tunic (pink),000020a9
Sleeveless tunic (white),000020aa
Sleeveless tunic (yellow),000020ab
Coatigan (purple),000011f9
Coatigan (pink),0000210a
Coatigan (light blue),0000210b
Coatigan (gray),0000210c
Coatigan (green),0000210d
Patchwork coat (brown),000011fd
Patchwork coat (green),0000210e
Patchwork coat (gray),0000210f
Earbuds combo (brown),00001202
Earbuds combo (green),000020d7
Earbuds combo (blue),000020d8
Earbuds combo (yellow),000020d9
"Colorful striped sweater (navy, light blue & pink)",00001205
"Colorful striped sweater (white, blue & green)",00001dd7
"Colorful striped sweater (white, yellow & red)",00001dd8
"Colorful striped sweater (black, coral & pink)",00001dd9
"Colorful striped sweater (orange, yellow & black)",00001dda
"Colorful striped sweater (gray, white & light blue)",00001ddb
Madras plaid shirt (green),00001207
Madras plaid shirt (blue),00002303
Madras plaid shirt (red),00002304
Madras plaid shirt (purple),00002305
Madras plaid shirt (pink),00002306
Madras plaid shirt (gray),00002307
Poncho-style sweater (purple),00001235
Poncho-style sweater (peacock blue),00001eb2
Poncho-style sweater (orange),00001eb3
Poncho-style sweater (blue),00001eb4
Poncho-style sweater (gray),00001eb5
Tunic tank (white),0000123c
Tunic tank (yellow),000020c6
Tunic tank (pink),000020c7
Tunic tank (mint),000020c8
Ribbon-straps tank (black),00001243
Ribbon-straps tank (pink),00001f98
Ribbon-straps tank (blue),00001f99
Printed fleece sweater (moss green),00001248
Printed fleece sweater (blue),00001eaa
Printed fleece sweater (brown),00001eab
Printed fleece sweater (purple),00001eac
Printed fleece sweater (green),00001ead
Detective's coat (brown),00001249
Detective's coat (gray),0000240f
Detective's coat (beige),00002410
Baggy shirt (gray),00001266
Baggy shirt (black),0000216a
Baggy shirt (brown),0000216b
Open-collar shirt (coral),0000126b
Open-collar shirt (blue),00002149
Open-collar shirt (green),0000214a
Open-collar shirt (beige),0000214b
Meme shirt (purple),0000126d
Meme shirt (blue),000020ee
Meme shirt (green),000020ef
Meme shirt (red),000020f0
Quilted jacket (pink),00001278
Quilted jacket (brown),0000208a
Quilted jacket (lime),0000208b
Quilted jacket (blue),0000208c
Quilted jacket (green),0000208d
Down ski jacket (red & yellow),0000127f
Down ski jacket (blue & green),0000208e
Down ski jacket (navy & blue),0000208f
Down ski jacket (navy & red),00002090
Worker's jacket (light blue),0000129d
Worker's jacket (beige),0000214c
Worker's jacket (navy blue),0000214d
Pom-pom sweater (pink),0000129e
Pom-pom sweater (white),00001f48
Pom-pom sweater (blue),00001f49
Humble sweater (purple),000012b8
Humble sweater (brown),0000234c
Humble sweater (green),0000234d
Humble sweater (blue),0000234e
Anorak jacket (camel),000012b9
Anorak jacket (red),0000245c
Anorak jacket (blue),0000245d
Multipurpose vest (beige),000012be
Multipurpose vest (gray),000021b9
Multipurpose vest (avocado),000021ba
Snowflake sweater (blue),00001402
Snowflake sweater (light blue),00001ea1
Thread-worn sweater (green),00001406
Thread-worn sweater (black),0000216c
Thread-worn sweater (beige),0000216d
Thread-worn sweater (pink),0000216e
Samurai shirt (red),0000140a
Samurai shirt (black),00001fd2
Samurai shirt (blue),00001fd3
Samurai shirt (white),00001fd4
Samurai shirt (golden yellow),00001fd5
Sleeved apron (pink),0000140c
Sleeved apron (blue),00002586
Sleeved apron (orange),00002587
Sleeved apron (green),00002588
Sleeved apron (purple),00002589
Thief's costume,0000140e
Energetic sweater (yellow),0000148e
Energetic sweater (light blue),00001dd4
Energetic sweater (purple),00001dd5
Energetic sweater (pink),00001dd6
Acid-washed jacket (blue),000014a9
Acid-washed jacket (black),00002542
Music-fest shirt (black),000014aa
Music-fest shirt (red),000020da
Music-fest shirt (purple),000020db
Music-fest shirt (light blue),000020dc
Traditional straw coat,000014ab
Old-school jacket (red),000014ac
Old-school jacket (green),00001dc4
Old-school jacket (purple),00001dc5
Dance-team jacket (black),000014c5
Dance-team jacket (white),00001dc1
Dance-team jacket (purple),00001dc2
Dance-team jacket (red),00001dc3
Puffy-sleeve blouse (light blue),000014e5
Puffy-sleeve blouse (yellow),0000214e
Puffy-sleeve blouse (pink),0000214f
Puffy-sleeve blouse (lime),00002150
Holiday sweater (green),00001506
Holiday sweater (red),00001ea6
Holiday sweater (blue),00001ea7
Vest with binoculars,00001539
Shirt with camera (light blue),00001540
Shirt with camera (black),00002151
Embroidered tank (red),00001541
Embroidered tank (purple),00001f9a
Embroidered tank (blue),00001f9b
Embroidered tank (pink),00001f9c
Embroidered tank (green),00001f9d
Embroidered tank (beige),00001f9e
Embroidered tank (navy blue),00001f9f
Sailor-style shirt (navy blue),000015f5
Sailor-style shirt (light blue),00001d8f
Sailor-style shirt (white),00001d90
Fischerhemd,0000161a
Flashy cardigan (red),00001635
Flashy cardigan (blue),00001eb1
Sleeveless parka (green),0000168e
Sleeveless parka (black),00001f3a
Sleeveless parka (pink),00001f3b
Sleeveless parka (purple),00001f3c
Sleeveless parka (orange),00001f3d
Staff uniform (blue),000016d1
Staff uniform (yellow),000020dd
Staff uniform (pink),000020de
Oilskin coat (yellow),000016df
Oilskin coat (red),00002411
Oilskin coat (gray),00002412
Guide shirt (green),00001726
Guide shirt (red),00002152
Guide shirt (yellow),00002153
Bulldog jacket (black),0000175c
Bulldog jacket (white),00001f3e
Bulldog jacket (red),00001f3f
Doublet (black),0000178d
Doublet (blue),0000205d
Doublet (green),0000205e
Doublet (red),0000205f
Gingham picnic shirt (red),00001a9b
Gingham picnic shirt (green),0000230b
Gingham picnic shirt (blue),0000230c
Gingham picnic shirt (gray),0000230d
Gingham picnic shirt (orange),0000230e
Gingham picnic shirt (pink),0000230f
Gingham picnic shirt (purple),00002310
Gingham picnic shirt (light blue),00002311
Sports tank (1),00001241
Sports tank (2),00001f7d
Sports tank (3),00001f7e
Sports tank (4),00001f7f
Sports tank (5),00001f80
Sports tank (6),00001f81
Sports tank (7),00001f82
Sports tank (8),00001f83
